Similitud de la palabra "abogado"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 
espinosa            : 0.095| quintana            : 0.093| economía            : 0.093| pro                 : 0.094| 
economía            : 0.094| secofi              : 0.093| inundación          : 0.093| polémica            : 0.094| 
arrestado           : 0.094| martín              : 0.093| funcione            : 0.093| carter              : 0.094| 
estudios            : 0.094| difusión            : 0.093| energía             : 0.093| energía             : 0.094| 
variable            : 0.094| estudios            : 0.093| astronomía          : 0.092| favorable           : 0.094| 
justo               : 0.093| microeconomía       : 0.092| hecho               : 0.092| viernes             : 0.094| 
torno               : 0.093| entonces            : 0.092| recorte             : 0.092| hecho               : 0.093| 
respecto            : 0.093| oleoducto           : 0.092| anticipar           : 0.091| estipulan           : 0.093| 
lynch               : 0.093| sufragio            : 0.092| microeconomía       : 0.091| economía            : 0.093| 
favorable           : 0.093| excelsior           : 0.092| materia             : 0.091| excelsior           : 0.092| 
todavía             : 0.092| variable            : 0.091| acreditó            : 0.091| definir             : 0.092| 
comunicación        : 0.092| área                : 0.091| preventivo          : 0.091| asfixia             : 0.092| 
seremo              : 0.092| anticipar           : 0.091| definir             : 0.091| acreditó            : 0.092| 
encargar            : 0.091| tonelada            : 0.091| justo               : 0.091| electricidad        : 0.092| 
inundación          : 0.091| causar              : 0.091| domingo             : 0.091| variable            : 0.091| 
calificar           : 0.091| tejida              : 0.090| tejida              : 0.090| robar               : 0.091| 
empleado            : 0.091| hecho               : 0.090| fox                 : 0.090| val                 : 0.091| 
reestructuración    : 0.091| pro                 : 0.089| pro                 : 0.090| sumamente           : 0.090| 
definir             : 0.090| justo               : 0.089| encargar            : 0.090| lynch               : 0.090| 
suministro          : 0.089| mackey              : 0.089| aprueben            : 0.089| roma                : 0.090| 
departamento        : 0.089| robar               : 0.089| espinosa            : 0.089| todavía             : 0.089| 
área                : 0.089| estrella            : 0.089| empleado            : 0.089| comunicación        : 0.089| 
cuidadoso           : 0.089| lynch               : 0.089| contar              : 0.089| botín               : 0.089| 
gubernamental       : 0.088| popularidad         : 0.089| secofi              : 0.089| enlatado            : 0.089| 
probabilidad        : 0.088| mediado             : 0.089| vuelta              : 0.089| comprendido         : 0.088| 
fox                 : 0.088| nefasto             : 0.088| excelsior           : 0.089| vuelta              : 0.088| 
enlatado            : 0.088| roma                : 0.088| seremo              : 0.088| área                : 0.088| 
roma                : 0.088| arrestado           : 0.088| búsqueda            : 0.088| secofi              : 0.088| 
hecho               : 0.088| botín               : 0.087| cuidadoso           : 0.087| búsqueda            : 0.088| 
robar               : 0.088| amplio              : 0.087| reestructuración    : 0.087| crecimiento         : 0.088| 
asfixia             : 0.088| val                 : 0.087| monetario           : 0.086| alternativa         : 0.087| 
roblero             : 0.088| económico           : 0.086| importante          : 0.086| cuidadoso           : 0.087| 
mediado             : 0.088| cobrar              : 0.086| mismo               : 0.086| villarreal          : 0.087| 
excelsior           : 0.087| elector             : 0.086| entonces            : 0.085| mediado             : 0.087| 
entonces            : 0.087| comunicación        : 0.086| estrella            : 0.085| contrato            : 0.086| 
energía             : 0.087| inundación          : 0.086| todavía             : 0.085| financiar           : 0.086| 
anticipar           : 0.087| encargar            : 0.085| arrestado           : 0.084| enrique             : 0.086| 
botín               : 0.087| mismo               : 0.085| suministro          : 0.084| importante          : 0.086| 
oficial             : 0.086| transcurrir         : 0.085| contrato            : 0.084| absolutismo         : 0.086| 
corresponder        : 0.086| contar              : 0.085| financiar           : 0.084| fórmula             : 0.086| 
parecer             : 0.086| importante          : 0.085| producción          : 0.084| preventivo          : 0.086| 
oleoducto           : 0.086| definir             : 0.085| masivo              : 0.084| monetario           : 0.085| 
económico           : 0.086| villarreal          : 0.084| económico           : 0.084| mismo               : 0.085| 
caso                : 0.085| hijo                : 0.084| partir              : 0.083| empleado            : 0.085| 
cobrar              : 0.085| posición            : 0.084| transcurrir         : 0.083| hijo                : 0.085| 
pro                 : 0.085| resistencia         : 0.084| resistencia         : 0.083| transcurrir         : 0.085| 
aprueben            : 0.085| vuelta              : 0.084| gubernamental       : 0.083| resistencia         : 0.085| 
mismo               : 0.085| búsqueda            : 0.084| fórmula             : 0.083| avidez              : 0.085| 
avidez              : 0.085| enlatado            : 0.084| mackey              : 0.083| económico           : 0.084| 
fórmula             : 0.084| enrique             : 0.083| enlatado            : 0.083| inundación          : 0.084| 
monetario           : 0.084| departamento        : 0.083| lynch               : 0.083| entonces            : 0.084| 
secofi              : 0.083| implicar            : 0.083| necesariamente      : 0.082| popularidad         : 0.084| 
importante          : 0.083| probabilidad        : 0.083| roblero             : 0.082| testigo             : 0.083| 
aspirante           : 0.083| intercambio         : 0.082| sufragio            : 0.081| oleoducto           : 0.083| 
astronomía          : 0.083| desastroso          : 0.082| departamento        : 0.081| esperar             : 0.083| 
chocolate           : 0.083| oficial             : 0.082| amplio              : 0.081| justo               : 0.083| 
búsqueda            : 0.082| testigo             : 0.082| nefasto             : 0.081| seremo              : 0.083| 
popularidad         : 0.082| suministro          : 0.082| popularidad         : 0.081| partir              : 0.083| 
financiar           : 0.082| celebrar            : 0.082| oleoducto           : 0.080| posición            : 0.083| 
contar              : 0.082| rectoría            : 0.082| recibir             : 0.080| intercambio         : 0.083| 
lado                : 0.082| luchar              : 0.082| parecer             : 0.080| lado                : 0.082| 
implicar            : 0.082| astronomía          : 0.082| asfixia             : 0.080| bruto               : 0.082| 
contrato            : 0.081| española            : 0.081| hijo                : 0.080| nefasto             : 0.082| 
sumamente           : 0.081| plantel             : 0.081| lado                : 0.080| apresurado          : 0.082| 
disciplinado        : 0.081| masivo              : 0.081| probabilidad        : 0.080| amplio              : 0.082| 
transcurrir         : 0.081| crecimiento         : 0.081| caso                : 0.079| estrella            : 0.082| 
nefasto             : 0.081| necesariamente      : 0.081| mediado             : 0.079| española            : 0.081| 
masivo              : 0.081| seremo              : 0.081| posición            : 0.079| recibir             : 0.081| 
